"ef_date","total_amount"
20160726,5742489 
20160727,19461644 
20160728,16206623 
20160729,15318376 
20160730,13887012 
20160731,16304220 
20160801,10591255 
20160802,10381861 
20160803,12363528 
20160804,10974220 
20160805,9856991 
20160806,9328354 
20160807,11207489 
20160808,8701038 
20160809,10394004 
20160810,7178744 
20160811,10813874 
20160812,10626536 
20160813,11199588 
20160814,14150281 
20160815,7903484 
20160816,9723030 
20160817,10072121 
20160818,8658052 
20160819,11717965 
20160820,11890346 
20160821,13682813 
20160822,9493679 
20160823,8859199 
20160824,8725584 
20160825,10049069 
20160826,10376731 
20160827,14025064 
20160828,10887251 
20160829,9034783 
20160830,10140043 
20160831,8851818 
20160901,11831731 
20160902,14852619 
20160903,13611233 
20160904,13773701 
20160905,9553549 
20160906,10363484 
20160907,8522770 
20160908,9700974 
20160909,10835822 
20160910,13332489 
20160911,13223549 
20160912,8680086 
20160913,9721341 
20160914,10263311 
20160915,11265865 
20160916,10000259 
20160917,14892770 
20160918,12512532 
20160919,9365303 
20160920,8880065 
20160921,10310930 
20160922,9378311 
20160923,11050973 
20160924,12241645 
20160925,11853484 
20160926,11093528 
20160927,11079264 
20160928,10524567 
20160929,10533809 
20160930,11089826 
20161001,13863896 
20161002,11985411 
20161003,10237359 
20161004,11244675 
20161005,9443852 
20161006,12910151 
20161007,9672770 
20161008,13881753 
20161009,14388290 
20161010,10472294 
20161011,10928160 
20161012,12918679 
20161013,11894307 
20161014,13106839 
20161015,14836796 
20161016,13761969 
20161017,9790519 
20161018,10369480 
20161019,12164047 
20161020,13304199 
20161021,11412943 
20161022,16006493 
20161023,14767532 
20161024,10117705 
20161025,11214199 
20161026,10845064 
20161027,12637013 
20161028,12586666 
20161029,16013809 
20161030,16437056 
20161031,11402683 
20161101,10408441 
20161102,9766839 
20161103,11769805 
20161104,12124653 
20161105,12998917 
20161106,16252446 
20161107,9705476 
20161108,9495346 
20161109,11526666 
20161110,11611298 
20161111,11804502 
20161112,15669177 
20161113,11646904 
20161114,11884870 
20161115,9293160 
20161116,9392251 
20161117,11731428 
20161118,14703852 
20161119,14584329 
20161120,15324848 
20161121,9827554 
20161122,10947142 
20161123,11115627 
20161124,11748116 
20161125,11781493 
20161126,15671147 
20161127,15987727 
20161128,11124697 
20161129,12429653 
20161130,10916904 
20161201,11507402 
20161202,11083809 
20161203,15826190 
20161204,15958723 
20161205,11764458 
20161206,10998636 
20161207,11679783 
20161208,9324090 
20161209,10704091 
20161210,17680216 
20161211,16736234 
20161212,10584978 
20161213,11672294 
20161214,13844891 
20161215,11473095 
20161216,12030649 
20161217,16603679 
20161218,13757705 
20161219,10994134 
20161220,10590259 
20161221,12578289 
20161222,11409393 
20161223,13634437 
20161224,20245000 
20161225,16932532 
20161226,13624978 
20161227,13019870 
20161228,14381644 
20161229,12816255 
20161230,12508441 
20161231,14971904 
20170101,15255930 
20170102,16657727 
20170103,10723960 
20170104,14897554 
20170105,11890887 
20170106,13136904 
20170107,17381147 
20170108,16391320 
20170109,11682164 
20170110,11374783 
20170111,12313073 
20170112,11631839 
20170113,13006688 
20170114,16094047 
20170115,13346883 
20170116,12518203 
20170117,11708116 
20170118,11682186 
20170119,13427272 
20170120,13995519 
20170121,16713614 
20170122,13523463 
20170123,10741450 
20170124,11796342 
20170125,14257748 
20170126,12925303 
20170127,18576342 
20170128,17720649 
20170129,18868398 
20170130,16139805 
20170131,19054502 
20170201,22499307 
20170202,13832662 
20170203,15279805 
20170204,13646623 
20170205,11636515 
20170206,10240714 
20170207,11031558 
20170208,10376991 
20170209,11352381 
20170210,11263917 
20170211,15528658 
20170212,13020043 
20170213,13496147 
20170214,10979826 
20170215,11331580 
20170216,9952316 
20170217,11258095 
20170218,18402857 
20170219,16274394 
20170220,11986818 
20170221,12373528 
20170222,10460065 
20170223,11811017 
20170224,12366039 
20170225,19863225 
20170226,17506276 
20170227,11488203 
20170228,12780194 
20170301,11886883 
20170302,10682770 
